Id,solution
1,0.070725
2,0.045811
3,0.023048
4,0.083597
5,0.075417
6,0.055442
7,0.060505
8,0.040153
9,0.012485
10,0.697311
11,0.015536
12,0.023352
13,0.011895
14,0.045169
15,0.064057
16,0.015595
17,0.048753
18,0.017581
19,0.128814
20,0.067712
21,0.015549
22,0.019139
23,0.013129
24,0.760308
25,0.086718
26,0.015148
27,0.079353
28,0.018359
29,0.057557
30,0.014050
31,0.055182
32,0.012095
33,0.014620
34,0.062366
35,0.211574
36,0.047668
37,0.032438
38,0.018425
39,0.016315
40,0.034588
41,0.079330
42,0.176058
43,0.071575
44,0.013140
45,0.098063
46,0.015572
47,0.016108
48,0.026931
49,0.014919
50,0.046826
51,0.015757
52,0.018016
53,0.013230
54,0.067137
55,0.017060
56,0.107575
57,0.017674
58,0.094848
59,0.123174
60,0.109095
61,0.032527
62,0.012894
63,0.014479
64,0.018304
65,0.018175
66,0.024189
67,0.014929
68,0.089145
69,0.014075
70,0.848199
71,0.023998
72,0.075780
73,0.017442
74,0.196238
75,0.018277
76,0.049825
77,0.067331
78,0.031291
79,0.011219
80,0.017437
81,0.018832
82,0.018498
83,0.017058
84,0.015320
85,0.023789
86,0.014086
87,0.053487
88,0.012095
89,0.026007
90,0.030573
91,0.040434
92,0.018933
93,0.014864
94,0.024590
95,0.010548
96,0.061322
97,0.038029
98,0.075149
99,0.011951
100,0.013603
101,0.068045
102,0.078792
103,0.014078
104,0.073830
105,0.026797
106,0.017819
107,0.377590
108,0.022780
109,0.011190
110,0.017143
111,0.018228
112,0.017511
113,0.025397
114,0.490895
115,0.069934
116,0.012201
117,0.012324
118,0.081222
119,0.011660
120,0.011627
121,0.022388
122,0.043436
123,0.018169
124,0.665967
125,0.012220
126,0.018501
127,0.013360
128,0.014111
129,0.013091
130,0.030495
131,0.033966
132,0.075005
133,0.014552
134,0.041520
135,0.133262
136,0.014129
137,0.162710
138,0.033974
139,0.009587
140,0.013629
141,0.012718
142,0.015786
143,0.015526
144,0.013508
145,0.309590
146,0.013677
147,0.014520
148,0.046448
149,0.011616
150,0.043466
151,0.012015
152,0.010236
153,0.017649
154,0.023096
155,0.020816
156,0.019671
157,0.062976
158,0.012237
159,0.078167
160,0.019403
161,0.012123
162,0.019211
163,0.022308
164,0.049268
165,0.013633
166,0.027492
167,0.834725
168,0.021305
169,0.209025
170,0.012782
171,0.011794
172,0.024494
173,0.015693
174,0.050475
175,0.023489
176,0.229464
177,0.023810
178,0.070008
179,0.015667
180,0.013396
181,0.033163
182,0.013507
183,0.025164
184,0.018839
185,0.101515
186,0.023055
187,0.013385
188,0.030119
189,0.061363
190,0.025572
191,0.013494
192,0.049143
193,0.020371
194,0.100386
195,0.011636
196,0.039649
197,0.024869
198,0.011569
199,0.012817
200,0.012883
201,0.089033
202,0.038548
203,0.223121
204,0.068544
205,0.021829
206,0.018522
207,0.016133
208,0.012949
209,0.089791
210,0.016547
211,0.088919
212,0.033643
213,0.017429
214,0.014839
215,0.022584
216,0.071753
217,0.012552
218,0.102195
219,0.021233
220,0.014371
221,0.013284
222,0.013736
223,0.018680
224,0.016921
225,0.012995
226,0.068599
227,0.013353
228,0.070788
229,0.129351
230,0.567119
231,0.223952
232,0.017241
233,0.019794
234,0.021529
235,0.011355
236,0.143707
237,0.094086
238,0.016440
239,0.004945
240,0.023180
241,0.070560
242,0.015918
243,0.013174
244,0.036955
245,0.080446
246,0.015865
247,0.025583
248,0.014757
249,0.015455
250,0.241808
251,0.029122
252,0.101549
253,0.012312
254,0.056285
255,0.005302
256,0.012095
257,0.044626
258,0.083726
259,0.031541
260,0.067459
261,0.012604
262,0.027894
263,0.011644
264,0.036879
265,0.078632
266,0.019535
267,0.073371
268,0.039528
269,0.129324
270,0.014841
271,0.051094
272,0.026187
273,0.016470
274,0.014183
275,0.015196
276,0.023917
277,0.032533
278,0.015562
279,0.076420
280,0.027717
281,0.592619
282,0.053961
283,0.049968
284,0.024759
285,0.013566
286,0.013661
287,0.018757
288,0.040504
289,0.106303
290,0.064843
291,0.266609
292,0.011607
293,0.035166
294,0.016177
295,0.011716
296,0.026908
297,0.012670
298,0.036959
299,0.014233
300,0.016650
301,0.088149
302,0.012561
303,0.019424
304,0.015049
305,0.490211
306,0.041550
307,0.016472
308,0.697311
309,0.277263
310,0.014023
311,0.478509
312,0.010607
313,0.211628
314,0.038589
315,0.045013
316,0.109531
317,0.150035
318,0.017429
319,0.011735
320,0.095154
321,0.070853
322,0.016764
323,0.017476
324,0.013231
325,0.074498
326,0.015085
327,0.014130
328,0.022207
329,0.016564
330,0.017199
331,0.012917
332,0.017956
333,0.015459
334,0.039818
335,0.044275
336,0.054204
337,0.014958
338,0.144757
339,0.011822
340,0.012541
341,0.012002
342,0.016687
343,0.021603
344,0.037306
345,0.035115
346,0.022398
347,0.265600
348,0.016352
349,0.018971
350,0.013414
351,0.044756
352,0.021851
353,0.011909
354,0.109872
355,0.014226
356,0.013726
357,0.759744
358,0.012560
359,0.057572
360,0.211964
361,0.023325
362,0.013682
363,0.012349
364,0.016390
365,0.090523
366,0.100163
367,0.041519
368,0.072587
369,0.024495
370,0.275595
371,0.011504
372,0.081744
373,0.014664
374,0.017025
375,0.011666
376,0.013090
377,0.023969
378,0.012216
379,0.017794
380,0.018120
381,0.011962
382,0.022528
383,0.070343
384,0.041395
385,0.011874
386,0.011923
387,0.011766
388,0.012921
389,0.029370
390,0.019479
391,0.012196
392,0.011889
393,0.022973
394,0.103106
395,0.016822
396,0.013373
397,0.097799
398,0.112833
399,0.040546
400,0.034014
401,0.014756
402,0.012640
403,0.014825
404,0.012482
405,0.841176
406,0.634059
407,0.018742
408,0.035954
409,0.021082
410,0.027380
411,0.030631
412,0.072851
413,0.083562
414,0.011546
415,0.014062
416,0.065816
417,0.093942
418,0.050411
419,0.015623
420,0.013760
421,0.018042
422,0.018253
423,0.041336
424,0.005284
425,0.012328
426,0.014494
427,0.011254
428,0.019191
429,0.067759
430,0.013657
431,0.260719
432,0.013057
433,0.015442
434,0.017714
435,0.023584
436,0.034061
437,0.058973
438,0.085035
439,0.012396
440,0.026537
441,0.011347
442,0.036900
443,0.031262
444,0.009582
445,0.047580
446,0.179376
447,0.011726
448,0.079353
449,0.040936
450,0.011429
451,0.031685
452,0.014091
453,0.071434
454,0.011432
455,0.062193
456,0.017829
457,0.068808
458,0.012237
459,0.097040
460,0.026408
461,0.018138
462,0.062518
463,0.016723
464,0.071510
465,0.038304
466,0.011181
467,0.013711
468,0.017769
469,0.018274
470,0.204954
471,0.015104
472,0.014467
473,0.199070
474,0.044417
475,0.015446
476,0.017723
477,0.012097
478,0.021191
479,0.037262
480,0.022036
481,0.067575
482,0.011520
483,0.106231
484,0.041284
485,0.015633
486,0.199705
487,0.086562
488,0.058825
489,0.055508
490,0.089440
491,0.011243
492,0.022517
493,0.389020
494,0.013786
495,0.187046
496,0.013041
497,0.020868
498,0.012545
499,0.093190
500,0.012095
501,0.018248
502,0.017219
503,0.039094
504,0.013709
505,0.013008
506,0.097776
507,0.032521
508,0.012212
509,0.013379
510,0.019212
511,0.012011
512,0.314825
513,0.056344
514,0.036929
515,0.021324
516,0.129703
517,0.014497
518,0.018338
519,0.016718
520,0.015905
521,0.010348
522,0.019395
523,0.089238
524,0.038539
525,0.065584
526,0.444335
527,0.093106
528,0.015217
529,0.133806
530,0.013828
531,0.011701
532,0.012231
533,0.018650
534,0.012926
535,0.013235
536,0.012226
537,0.016124
538,0.049072
539,0.025777
540,0.010632
541,0.017147
542,0.026943
543,0.062752
544,0.087146
545,0.013485
546,0.011564
547,0.034431
548,0.017925
549,0.011952
550,0.155464
551,0.206304
552,0.169482
553,0.010810
554,0.014499
555,0.055863
556,0.015966
557,0.021392
558,0.022121
559,0.063555
560,0.053268
561,0.004890
562,0.013492
563,0.117378
564,0.065328
565,0.091122
566,0.015175
567,0.016928
568,0.032232
569,0.385625
570,0.045849
571,0.091971
572,0.023243
573,0.022275
574,0.053960
575,0.050320
576,0.016945
577,0.070592
578,0.014297
579,0.096943
580,0.013807
581,0.012894
582,0.013232
583,0.015076
584,0.029822
585,0.046670
586,0.012030
587,0.011462
588,0.077703
589,0.015720
590,0.011534
591,0.088919
592,0.015757
593,0.021780
594,0.019649
595,0.164516
596,0.016826
597,0.019975
598,0.016588
599,0.029246
600,0.012242
601,0.020741
602,0.051432
603,0.013261
604,0.011976
605,0.079873
606,0.015277
607,0.035491
608,0.037457
609,0.041746
610,0.012415
611,0.053352
612,0.016302
613,0.012567
614,0.033088
615,0.024733
616,0.014947
617,0.051710
618,0.012720
619,0.021104
620,0.024003
621,0.015821
622,0.038947
623,0.026180
624,0.068808
625,0.074126
626,0.567727
627,0.084721
628,0.017846
629,0.015593
630,0.086925
631,0.015906
632,0.020856
633,0.012692
634,0.038503
635,0.066034
636,0.015941
637,0.016481
638,0.036346
639,0.075883
640,0.010554
641,0.013848
642,0.395003
643,0.104122
644,0.755171
645,0.073382
646,0.260678
647,0.015394
648,0.079775
649,0.016084
650,0.044482
651,0.229133
652,0.016365
653,0.048595
654,0.477786
655,0.015293
656,0.043320
657,0.017112
658,0.013109
659,0.161961
660,0.093658
661,0.029524
662,0.124278
663,0.094943
664,0.110356
665,0.469007
666,0.011944
667,0.016709
668,0.068966
669,0.252969
670,0.057200
671,0.016805
672,0.111002
673,0.038640
674,0.012635
675,0.315102
676,0.153557
677,0.042513
678,0.052556
679,0.039866
680,0.150059
681,0.036535
682,0.016791
683,0.082798
684,0.020683
685,0.057956
686,0.013943
687,0.013626
688,0.013215
689,0.083892
690,0.026602
691,0.039341
692,0.504245
693,0.033660
694,0.041422
695,0.058737
696,0.018522
697,0.012599
698,0.026574
699,0.179576
700,0.021768
701,0.012058
702,0.174518
703,0.063882
704,0.697311
705,0.024615
706,0.018352
707,0.033659
708,0.024607
709,0.023216
710,0.017811
711,0.030581
712,0.093755
713,0.015654
714,0.018719
715,0.021805
716,0.411140
717,0.015198
718,0.039169
719,0.040665
720,0.013462
721,0.013281
722,0.015511
723,0.066581
724,0.013541
725,0.185912
726,0.019927
727,0.013210
728,0.026144
729,0.069666
730,0.616607
731,0.015446
732,0.053206
733,0.013025
734,0.018013
735,0.034674
736,0.033228
737,0.035659
738,0.042173
739,0.013448
740,0.010845
741,0.012530
742,0.015338
743,0.053629
744,0.025305
745,0.028961
746,0.050119
747,0.015052
748,0.043628
749,0.031591
750,0.051146
751,0.209805
752,0.011773
753,0.019156
754,0.015907
755,0.024564
756,0.014140
757,0.041725
758,0.028222
759,0.012872
760,0.016820
761,0.018411
762,0.031629
763,0.047127
764,0.011241
765,0.015439
766,0.068806
767,0.011360
768,0.097754
769,0.029974
770,0.088919
771,0.011622
772,0.194474
773,0.063483
774,0.012823
775,0.018920
776,0.015640
777,0.096237
778,0.012469
779,0.016183
780,0.262924
781,0.024339
782,0.021939
783,0.014686
784,0.097661
785,0.024723
786,0.072724
787,0.043046
788,0.023212
789,0.048151
790,0.104965
791,0.019075
792,0.428056
793,0.043333
794,0.020393
795,0.372138
796,0.014987
797,0.086624
798,0.027055
799,0.183235
800,0.025870
801,0.015510
802,0.004889
803,0.039325
804,0.015437
805,0.111120
806,0.025587
807,0.015953
808,0.092901
809,0.034317
810,0.047666
811,0.025114
812,0.028381
813,0.021794
814,0.015961
815,0.094847
816,0.031062
817,0.013161
818,0.020991
819,0.004889
820,0.066124
821,0.019706
822,0.268221
823,0.014236
824,0.015476
825,0.016367
826,0.027578
827,0.072937
828,0.023461
829,0.013734
830,0.013594
831,0.086052
832,0.035346
833,0.085765
834,0.016338
835,0.064635
836,0.020180
837,0.160244
838,0.011504
839,0.080960
840,0.409979
841,0.116458
842,0.017658
843,0.070342
844,0.052524
845,0.789940
846,0.497320
847,0.016194
848,0.016251
849,0.131083
850,0.013661
851,0.071160
852,0.011810
853,0.080560
854,0.011620
855,0.010747
856,0.032234
857,0.023689
858,0.041732
859,0.015697
860,0.060535
861,0.221433
862,0.013394
863,0.014065
864,0.017103
865,0.024602
866,0.017625
867,0.012020
868,0.067790
869,0.039876
870,0.010239
871,0.026848
872,0.030415
873,0.011701
874,0.013660
875,0.017613
876,0.024322
877,0.017839
878,0.025372
879,0.013082
880,0.017570
881,0.019458
882,0.068910
883,0.041424
884,0.089942
885,0.004945
886,0.012787
887,0.047485
888,0.360284
889,0.035302
890,0.038721
891,0.013277
892,0.012867
893,0.320067
894,0.854556
895,0.025168
896,0.016934
897,0.011828
898,0.011870
899,0.013011
900,0.011505
